A,PMR446 Ch3,Ch3/1,446.03125,446.03125,67.0,0
A,PMR446 Ch3,Ch3/2,446.03125,446.03125,71.9,0
A,PMR446 Ch3,Ch3/3,446.03125,446.03125,74.4,0
A,PMR446 Ch3,Ch3/4,446.03125,446.03125,77.0,0
A,PMR446 Ch3,Ch3/5,446.03125,446.03125,79.7,0
A,PMR446 Ch3,Ch3/6,446.03125,446.03125,82.5,0
A,PMR446 Ch3,Ch3/7,446.03125,446.03125,85.4,0
A,PMR446 Ch3,Ch3/8,446.03125,446.03125,88.5,0
A,PMR446 Ch3,Ch3/9,446.03125,446.03125,91.5,0
A,PMR446 Ch3,Ch3/10,446.03125,446.03125,94.8,0
A,PMR446 Ch3,Ch3/11,446.03125,446.03125,97.4,0
A,PMR446 Ch3,Ch3/12,446.03125,446.03125,100.0,0
A,PMR446 Ch3,Ch3/13,446.03125,446.03125,103.5,0
A,PMR446 Ch3,Ch3/14,446.03125,446.03125,107.2,0
A,PMR446 Ch3,Ch3/15,446.03125,446.03125,110.9,0
A,PMR446 Ch3,Ch3/16,446.03125,446.03125,114.8,0
A,PMR446 Ch3,Ch3/17,446.03125,446.03125,118.8,0
A,PMR446 Ch3,Ch3/18,446.03125,446.03125,123.0,0
A,PMR446 Ch3,Ch3/19,446.03125,446.03125,127.3,0
A,PMR446 Ch3,Ch3/20,446.03125,446.03125,131.8,0
A,PMR446 Ch3,Ch3/21,446.03125,446.03125,136.5,0
A,PMR446 Ch3,Ch3/22,446.03125,446.03125,141.3,0
A,PMR446 Ch3,Ch3/23,446.03125,446.03125,146.2,0
A,PMR446 Ch3,Ch3/24,446.03125,446.03125,151.4,0
A,PMR446 Ch3,Ch3/25,446.03125,446.03125,156.7,0
A,PMR446 Ch3,Ch3/26,446.03125,446.03125,162.2,0
A,PMR446 Ch3,Ch3/27,446.03125,446.03125,167.9,0
A,PMR446 Ch3,Ch3/28,446.03125,446.03125,173.8,0
A,PMR446 Ch3,Ch3/29,446.03125,446.03125,179.9,0
A,PMR446 Ch3,Ch3/30,446.03125,446.03125,186.2,0
A,PMR446 Ch3,Ch3/31,446.03125,446.03125,192.8,0
A,PMR446 Ch3,Ch3/32,446.03125,446.03125,203.5,0
A,PMR446 Ch3,Ch3/33,446.03125,446.03125,210.7,0
A,PMR446 Ch3,Ch3/34,446.03125,446.03125,218.1,0
A,PMR446 Ch3,Ch3/35,446.03125,446.03125,225.7,0
A,PMR446 Ch3,Ch3/36,446.03125,446.03125,233.6,0
A,PMR446 Ch3,Ch3/37,446.03125,446.03125,241.8,0
A,PMR446 Ch3,Ch3/38,446.03125,446.03125,250.3,0
A,PMR446 Ch4,Ch4/No Tone,446.04375,446.04375,0,1
A,PMR446 Ch4,Ch4/1,446.04375,446.04375,67.0,0
A,PMR446 Ch4,Ch4/2,446.04375,446.04375,71.9,0
A,PMR446 Ch4,Ch4/3,446.04375,446.04375,74.4,0
A,PMR446 Ch4,Ch4/4,446.04375,446.04375,77.0,0
A,PMR446 Ch4,Ch4/5,446.04375,446.04375,79.7,0
A,PMR446 Ch4,Ch4/6,446.04375,446.04375,82.5,0
A,PMR446 Ch4,Ch4/7,446.04375,446.04375,85.4,0
A,PMR446 Ch4,Ch4/8,446.04375,446.04375,88.5,0
A,PMR446 Ch4,Ch4/9,446.04375,446.04375,91.5,0
A,PMR446 Ch4,Ch4/10,446.04375,446.04375,94.8,0
A,PMR446 Ch4,Ch4/11,446.04375,446.04375,97.4,0
A,PMR446 Ch4,Ch4/12,446.04375,446.04375,100.0,0
A,PMR446 Ch4,Ch4/13,446.04375,446.04375,103.5,0
A,PMR446 Ch4,Ch4/14,446.04375,446.04375,107.2,0
A,PMR446 Ch4,Ch4/15,446.04375,446.04375,110.9,0
A,PMR446 Ch4,Ch4/16,446.04375,446.04375,114.8,0
A,PMR446 Ch4,Ch4/17,446.04375,446.04375,118.8,0
A,PMR446 Ch4,Ch4/18,446.04375,446.04375,123.0,0
A,PMR446 Ch4,Ch4/19,446.04375,446.04375,127.3,0
A,PMR446 Ch4,Ch4/20,446.04375,446.04375,131.8,0
A,PMR446 Ch4,Ch4/21,446.04375,446.04375,136.5,0
A,PMR446 Ch4,Ch4/22,446.04375,446.04375,141.3,0
A,PMR446 Ch4,Ch4/23,446.04375,446.04375,146.2,0
A,PMR446 Ch4,Ch4/24,446.04375,446.04375,151.4,0
A,PMR446 Ch4,Ch4/25,446.04375,446.04375,156.7,0
A,PMR446 Ch4,Ch4/26,446.04375,446.04375,162.2,0
A,PMR446 Ch4,Ch4/27,446.04375,446.04375,167.9,0
A,PMR446 Ch4,Ch4/28,446.04375,446.04375,173.8,0
A,PMR446 Ch4,Ch4/29,446.04375,446.04375,179.9,0
A,PMR446 Ch4,Ch4/30,446.04375,446.04375,186.2,0
A,PMR446 Ch4,Ch4/31,446.04375,446.04375,192.8,0
A,PMR446 Ch4,Ch4/32,446.04375,446.04375,203.5,0
A,PMR446 Ch4,Ch4/33,446.04375,446.04375,210.7,0
A,PMR446 Ch4,Ch4/34,446.04375,446.04375,218.1,0
A,PMR446 Ch4,Ch4/35,446.04375,446.04375,225.7,0
A,PMR446 Ch4,Ch4/36,446.04375,446.04375,233.6,0
A,PMR446 Ch4,Ch4/37,446.04375,446.04375,241.8,0
A,PMR446 Ch4,Ch4/38,446.04375,446.04375,250.3,0
A,PMR446 Ch5,Ch5/No Tone,446.05625,446.05625,0,1
A,PMR446 Ch5,Ch5/1,446.05625,446.05625,67.0,0
A,PMR446 Ch5,Ch5/2,446.05625,446.05625,71.9,0
A,PMR446 Ch5,Ch5/3,446.05625,446.05625,74.4,0
A,PMR446 Ch5,Ch5/4,446.05625,446.05625,77.0,0
A,PMR446 Ch5,Ch5/5,446.05625,446.05625,79.7,0
